Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_50 Spectral Count	A_55 Spectral Count	A_56 Spectral Count	A_57 Spectral Count	A_61 Spectral Count	A_62 Spectral Count	A_72 Spectral Count	A_75 Spectral Count	A_76 Spectral Count	A_77 Spectral Count	A_78 Spectral Count	A_81 Spectral Count	A_82 Spectral Count	A_83 Spectral Count	G_50 Spectral Count	G_55 Spectral Count	G_56 Spectral Count	G_57 Spectral Count	G_61 Spectral Count	G_62 Spectral Count	G_72 Spectral Count	G_75 Spectral Count	G_76 Spectral Count	G_77 Spectral Count	G_78 Spectral Count	G_81 Spectral Count	G_82 Spectral Count	G_83 Spectral Count	A_50 Unique Spectral Count	A_55 Unique Spectral Count	A_56 Unique Spectral Count	A_57 Unique Spectral Count	A_61 Unique Spectral Count	A_62 Unique Spectral Count	A_72 Unique Spectral Count	A_75 Unique Spectral Count	A_76 Unique Spectral Count	A_77 Unique Spectral Count	A_78 Unique Spectral Count	A_81 Unique Spectral Count	A_82 Unique Spectral Count	A_83 Unique Spectral Count	G_50 Unique Spectral Count	G_55 Unique Spectral Count	G_56 Unique Spectral Count	G_57 Unique Spectral Count	G_61 Unique Spectral Count	G_62 Unique Spectral Count	G_72 Unique Spectral Count	G_75 Unique Spectral Count	G_76 Unique Spectral Count	G_77 Unique Spectral Count	G_78 Unique Spectral Count	G_81 Unique Spectral Count	G_82 Unique Spectral Count	G_83 Unique Spectral Count	A_50 Total Spectral Count	A_55 Total Spectral Count	A_56 Total Spectral Count	A_57 Total Spectral Count	A_61 Total Spectral Count	A_62 Total Spectral Count	A_72 Total Spectral Count	A_75 Total Spectral Count	A_76 Total Spectral Count	A_77 Total Spectral Count	A_78 Total Spectral Count	A_81 Total Spectral Count	A_82 Total Spectral Count	A_83 Total Spectral Count	G_50 Total Spectral Count	G_55 Total Spectral Count	G_56 Total Spectral Count	G_57 Total Spectral Count	G_61 Total Spectral Count	G_62 Total Spectral Count	G_72 Total Spectral Count	G_75 Total Spectral Count	G_76 Total Spectral Count	G_77 Total Spectral Count	G_78 Total Spectral Count	G_81 Total Spectral Count	G_82 Total Spectral Count	G_83 Total Spectral Count	A_50 Intensity	A_55 Intensity	A_56 Intensity	A_57 Intensity	A_61 Intensity	A_62 Intensity	A_72 Intensity	A_75 Intensity	A_76 Intensity	A_77 Intensity	A_78 Intensity	A_81 Intensity	A_82 Intensity	A_83 Intensity	G_50 Intensity	G_55 Intensity	G_56 Intensity	G_57 Intensity	G_61 Intensity	G_62 Intensity	G_72 Intensity	G_75 Intensity	G_76 Intensity	G_77 Intensity	G_78 Intensity	G_81 Intensity	G_82 Intensity	G_83 Intensity	A_50 MaxLFQ Intensity	A_55 MaxLFQ Intensity	A_56 MaxLFQ Intensity	A_57 MaxLFQ Intensity	A_61 MaxLFQ Intensity	A_62 MaxLFQ Intensity	A_72 MaxLFQ Intensity	A_75 MaxLFQ Intensity	A_76 MaxLFQ Intensity	A_77 MaxLFQ Intensity	A_78 MaxLFQ Intensity	A_81 MaxLFQ Intensity	A_82 MaxLFQ Intensity	A_83 MaxLFQ Intensity	G_50 MaxLFQ Intensity	G_55 MaxLFQ Intensity	G_56 MaxLFQ Intensity	G_57 MaxLFQ Intensity	G_61 MaxLFQ Intensity	G_62 MaxLFQ Intensity	G_72 MaxLFQ Intensity	G_75 MaxLFQ Intensity	G_76 MaxLFQ Intensity	G_77 MaxLFQ Intensity	G_78 MaxLFQ Intensity	G_81 MaxLFQ Intensity	G_82 MaxLFQ Intensity	G_83 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	10	671	671	671	23	32	34	24	37	33	23	31	34	35	33	19	29	19	25	23	18	21	0	16	23	22	10	21	22	27	18	19	23	32	34	24	37	33	23	31	34	35	33	19	29	19	25	23	18	21	0	16	23	22	10	21	22	27	18	19	23	32	34	24	37	33	23	31	34	35	33	19	29	19	25	23	18	21	0	16	23	22	10	21	22	27	18	19	4042880.2	3292784.2	3036750.0	3362698.5	4709691.5	4204781.0	4661992.0	4588517.0	5068777.0	4899042.0	4620195.5	2923263.8	3623326.0	624445.25	2132173.0	1981658.1	2188243.5	2454708.2	0.0	2219739.8	2939802.2	2040909.4	2017526.9	2257089.2	1815230.0	4934929.0	1973470.8	2038997.1	1493321.9	1288230.0	1235018.8	1147518.9	1774674.9	1473666.1	1533279.4	1796045.9	2029298.2	1756811.8	1929504.8	1071564.4	1238513.4	214913.42	765557.75	689834.1	757675.7	887557.2	0.0	802680.25	1043330.9	757363.75	673072.0	805124.8	664936.5	1696292.6	683913.44	797917.44	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	39	443	29	3493	12	13	14	13	19	15	11	11	11	17	16	10	11	23	16	22	20	22	0	18	22	25	11	18	17	14	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	2	0	2	3	3	1	2	4	0	1	2	80	122	111	90	93	116	72	94	96	138	92	83	94	182	179	206	131	193	0	152	167	187	80	145	158	104	110	218	1621308.5	3812803.8	2537802.0	3492960.2	2037530.0	4189931.0	1677708.0	3032049.5	2998835.8	4617714.5	1858468.6	1341918.0	1810037.9	4240584.0	3083029.8	3588712.8	2750142.0	5118259.0	0.0	2428037.5	3622348.2	3244906.0	1651834.5	1923420.6	2113868.0	1772163.1	1875406.8	6011058.5	595085.06	1695942.2	1150681.4	1519559.8	808319.44	1744836.2	740099.56	1277986.9	1422859.5	2097540.2	867944.56	553859.1	739458.2	2117523.8	1280526.2	1453971.5	835404.75	2032654.6	0.0	986320.6	1459917.0	1316322.2	621028.3	807415.8	872058.2	711451.5	596979.8	2154040.8	
sp|A2SW69|ANXA2_SHEEP	A2SW69	ANXA2_SHEEP	ANXA2	339	Ovis aries OX=9940	1:Experimental evidence at protein level	Annexin A2	1.0	0.999	60	2677	2652	2677	67	80	101	70	102	70	55	61	77	89	72	95	79	138	144	134	123	122	0	109	123	122	42	134	143	69	140	116	67	79	100	70	100	70	55	61	76	89	71	94	79	136	142	132	120	121	0	107	122	121	42	133	143	69	139	114	67	80	101	70	102	70	55	61	77	89	72	95	79	138	144	134	123	122	0	109	123	122	42	134	143	69	140	116	6236033.5	6001088.0	7069031.0	6657145.0	7499015.5	6024259.0	4905203.0	5369669.5	6160057.0	7230790.0	6125641.5	5648405.5	4905736.5	1.0143105E7	1.0412839E7	6724890.0	8788134.0	8903232.0	0.0	6128910.5	8028287.5	7760276.0	5752088.0	9886091.0	8791528.0	4900267.5	1.0817628E7	8001042.5	1005347.44	974710.9	1102774.5	1035334.3	1092458.8	938501.1	769776.7	798341.3	955484.1	1160363.5	932327.8	856307.06	767129.9	1605494.6	1394083.2	958855.0	1223366.2	1243830.1	0.0	852234.56	1076425.4	1051577.0	798346.44	1212970.8	1044818.56	748753.4	1364538.6	1091107.0	
sp|A6YRY8|RSSA_SHEEP	A6YRY8	RSSA_SHEEP	RPSA	295	Ovis aries OX=9940	2:Experimental evidence at transcript level	40S ribosomal protein SA	1.0	0.999	11	167	1	167	4	8	0	3	4	3	4	5	9	0	8	2	4	6	8	17	5	1	0	16	10	14	3	8	14	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	3	4	3	4	5	9	0	8	2	4	6	8	17	5	1	0	16	10	14	3	8	14	0	11	0	72805.14	136806.72	0.0	50516.445	63857.96	85904.35	115442.43	92479.8	145186.06	0.0	145712.67	16054.539	45642.44	84857.52	139697.52	305106.44	122312.15	17794.416	0.0	338752.25	221474.2	261240.3	213491.23	159921.83	332758.5	0.0	224984.78	0.0	32529.326	42856.086	0.0	22369.215	27363.355	37101.426	40870.586	39705.266	46596.78	0.0	41086.79	0.0	16068.6875	25503.674	35892.582	64914.344	36037.633	0.0	0.0	64056.844	52657.35	58617.594	51979.195	40175.41	60613.637	0.0	54429.832	0.0	
sp|B0FYY4|ITB1_SHEEP	B0FYY4	ITB1_SHEEP	ITGB1	798	Ovis aries OX=9940	2:Experimental evidence at transcript level	Integrin beta-1	1.0	0.999	28	725	0	725	32	59	58	41	59	38	32	45	57	35	39	46	60	9	5	3	1	6	0	4	12	5	0	10	12	42	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	59	58	41	59	38	32	45	57	35	39	46	60	9	5	3	1	6	0	4	12	5	0	10	12	42	12	3	2287438.0	3227690.5	3089151.5	2581931.0	2377105.0	2477156.5	2983169.8	3039998.8	3123492.0	2584982.0	2795040.8	2058727.5	2846541.2	122174.37	59709.49	57299.36	21373.408	152649.27	0.0	65712.46	449079.88	98235.7	22493.895	124170.39	145598.64	1989846.6	181306.22	58824.418	413205.66	558067.2	538687.4	465355.0	402401.03	448589.22	555102.7	528493.4	526862.2	468048.03	507761.66	335081.8	463326.12	31957.418	25417.795	24477.646	0.0	38818.61	0.0	26774.807	95283.016	32878.75	0.0	33031.13	36282.938	332454.1	41080.094	25058.016	tr|W5Q883|W5Q883_SHEEP
sp|B3VSB7|HPCL1_SHEEP	B3VSB7	HPCL1_SHEEP	HPCAL1	193	Ovis aries OX=9940	2:Experimental evidence at transcript level	Hippocalcin-like protein 1	0.9999	0.9987	2	13	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	1	0	2	0	1	1	0	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30100.244	19691.424	0.0	20423.254	0.0	0.0	13097.634	0.0	18495.457	0.0	16896.916	11564.856	0.0	15358.164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O18751|PYGM_SHEEP	O18751	PYGM_SHEEP	PYGM	842	Ovis aries OX=9940	2:Experimental evidence at transcript level	Glycogen phosphorylase, muscle form	1.0	0.999	14	18	18	104	1	1	0	0	3	0	1	0	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	1	0	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	13	0	0	14	0	8	0	16	14	0	11	13	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	24694.867	35432.42	0.0	0.0	49290.47	0.0	30090.766	0.0	58325.4	119948.46	35550.098	22356.26	18897.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12315.38	0.0	0.0	0.0	20362.758	0.0	0.0	18576.498	0.0	0.0	0.0	28473.174	39672.855	21197.467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O46390|PGS1_SHEEP	O46390	PGS1_SHEEP	BGN	369	Ovis aries OX=9940	2:Experimental evidence at transcript level	Biglycan	1.0	0.999	23	546	0	546	18	33	33	14	39	27	11	26	29	46	31	26	32	27	14	18	5	19	0	10	29	9	3	5	13	24	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	33	14	39	27	11	26	29	46	31	26	32	27	14	18	5	19	0	10	29	9	3	5	13	24	3	2	1070077.2	1094028.5	988940.4	634830.1	1196073.4	993585.4	841912.06	1609841.8	1279259.6	2321852.2	1274904.1	1068912.1	1090607.1	512706.94	340067.03	412668.22	117032.4	650758.5	0.0	230170.5	969360.25	262602.5	188841.0	121882.46	252478.4	1034602.56	92608.93	61623.516	336322.28	263332.22	223855.66	204139.77	269178.47	270901.4	282856.94	397418.97	320440.25	528559.06	323083.34	299146.03	284787.0	128988.13	102988.44	114587.92	53502.633	182585.56	0.0	82861.58	267743.8	90262.95	75994.52	56772.42	91186.625	296229.8	49567.95	39023.02	tr|W5PCP8|W5PCP8_SHEEP
sp|O77642|1433S_SHEEP	O77642	1433S_SHEEP	SFN	248	Ovis aries OX=9940	2:Experimental evidence at transcript level	14-3-3 protein sigma	0.9949	0.999	4	47	0	162	1	2	2	1	3	1	2	2	2	1	2	1	2	2	2	1	2	2	0	1	3	1	1	2	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	8	4	8	4	7	6	6	6	6	5	5	10	9	5	6	6	0	6	5	5	3	6	5	5	7	8	197959.83	206678.81	254550.38	237551.7	247996.75	225524.31	178548.89	167591.14	166248.66	213993.17	179339.19	273170.0	240617.48	109181.14	118554.12	105943.445	154418.3	156453.52	0.0	112963.766	132713.89	101957.555	108249.1	94036.98	96772.805	222666.02	115666.445	142809.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|W5QAA1|W5QAA1_SHEEP
sp|P00349|6PGD_SHEEP	P00349	6PGD_SHEEP	PGD	483	Ovis aries OX=9940	1:Experimental evidence at protein level	6-phosphogluconate dehydrogenase, decarboxylating	1.0	0.999	39	636	0	636	5	16	7	7	29	2	3	4	18	2	9	6	4	52	54	60	43	12	0	51	28	41	8	43	46	3	44	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16	7	7	29	2	3	4	18	2	9	6	4	52	54	60	43	12	0	51	28	41	8	43	46	3	44	39	108368.7	277012.5	131164.08	304648.84	450949.47	61493.277	122310.67	152396.47	245564.28	35771.168	222515.72	179611.45	64405.332	1042732.44	1497958.0	1208857.1	1396430.1	277614.66	0.0	881729.25	695565.6	875702.6	755560.3	892513.1	1058896.2	43335.754	1241137.1	1152216.1	51916.582	60478.48	27349.623	57202.668	64016.09	40103.363	56194.49	44634.863	60425.727	0.0	53648.605	58302.215	26443.004	110915.64	155864.75	127868.91	156292.02	59182.145	0.0	113569.02	90693.016	108970.11	135385.33	106128.41	115627.5	28994.807	126045.68	141224.66	tr|W5P5M3|W5P5M3_SHEEP
